ano,sigla_uf,id_municipio,id_classe_de,id_classe_para,area,chave,valor_pt,valor_en,chave_1,valor_pt_1,valor_en_1
1989,PB,2516607,25,25,1.568710044372556,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1989,PB,2516607,33,4,0.0070896311035156,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",4,1.2. Formação Savânica,1.2. Savanna Formation
1989,PB,2516607,33,33,0.556562485961915,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
2019,PB,2509701,3,3,0.1116001740112305,3,1.1 Formação Florestal,1.1. Forest Formation,3,1.1 Formação Florestal,1.1. Forest Formation
2019,PB,2509701,3,33,0.0150573083496094,3,1.1 Formação Florestal,1.1. Forest Formation,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
2019,PB,2509701,4,4,628.769073623833,4,1.2. Formação Savânica,1.2. Savanna Formation,4,1.2. Formação Savânica,1.2. Savanna Formation
2019,PB,2509701,4,15,0.035426163269043,4,1.2. Formação Savânica,1.2. Savanna Formation,15,3.1. Pastagem,3.1. Pasture
2019,PB,2509701,4,21,0.06200111328125,4,1.2. Formação Savânica,1.2. Savanna Formation,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
2019,PB,2509701,4,24,0.0115144169311523,4,1.2. Formação Savânica,1.2. Savanna Formation,24,4.2. Área Urbanizada,4.2. Urban Area
2019,PB,2509701,4,33,0.2276506538085939,4,1.2. Formação Savânica,1.2. Savanna Formation,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
2019,PB,2509701,12,12,3.576640560729984,12,2.2. Formação Campestre,2.2. Grassland,12,2.2. Formação Campestre,2.2. Grassland
2019,PB,2509701,15,4,0.1833625590820312,15,3.1. Pastagem,3.1. Pasture,4,1.2. Formação Savânica,1.2. Savanna Formation
2019,PB,2509701,15,15,206.7778499952364,15,3.1. Pastagem,3.1. Pasture,15,3.1. Pastagem,3.1. Pasture
2019,PB,2509701,15,21,2.160982495788571,15,3.1. Pastagem,3.1. Pasture,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
2019,PB,2509701,21,4,0.2524435170288086,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,4,1.2. Formação Savânica,1.2. Savanna Formation
2019,PB,2509701,21,15,17.96733833129872,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,15,3.1. Pastagem,3.1. Pasture
2019,PB,2509701,21,21,115.6639707383374,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
2019,PB,2509701,21,24,0.0177144827270508,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,24,4.2. Área Urbanizada,4.2. Urban Area
2019,PB,2509701,21,33,0.0230280258789062,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
2019,PB,2509701,24,24,6.331131420837339,24,4.2. Área Urbanizada,4.2. Urban Area,24,4.2. Área Urbanizada,4.2. Urban Area
2019,PB,2509701,25,15,0.1204505634765625,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,15,3.1. Pastagem,3.1. Pasture
2019,PB,2509701,25,21,0.0062006036987305,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
2019,PB,2509701,25,25,8.924997429504385,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
2019,PB,2509701,33,4,0.0744049212646485,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",4,1.2. Formação Savânica,1.2. Savanna Formation
2019,PB,2509701,33,15,0.0070846419677734,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",15,3.1. Pastagem,3.1. Pasture
2019,PB,2509701,33,21,0.0354235845336914,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
2019,PB,2509701,33,24,0.0177145308227539,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",24,4.2. Área Urbanizada,4.2. Urban Area
2019,PB,2509701,33,33,1.160297836975097,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
2019,PB,2509701,41,41,0.0053135817260742,41,3.2.1.5. Outras Lavouras Temporárias,3.2.1.5. Other Temporary Crops,41,3.2.1.5. Outras Lavouras Temporárias,3.2.1.5. Other Temporary Crops
2019,PB,2516607,3,3,0.6781525248413096,3,1.1 Formação Florestal,1.1. Forest Formation,3,1.1 Formação Florestal,1.1. Forest Formation
2019,PB,2516607,4,4,135.4457746667477,4,1.2. Formação Savânica,1.2. Savanna Formation,4,1.2. Formação Savânica,1.2. Savanna Formation
2019,PB,2516607,4,15,0.007977237121582,4,1.2. Formação Savânica,1.2. Savanna Formation,15,3.1. Pastagem,3.1. Pasture
2019,PB,2516607,4,21,0.0487477651367187,4,1.2. Formação Savânica,1.2. Savanna Formation,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
2019,PB,2516607,4,33,0.0070899027099609,4,1.2. Formação Savânica,1.2. Savanna Formation,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
2019,PB,2516607,12,12,0.4537815087890625,12,2.2. Formação Campestre,2.2. Grassland,12,2.2. Formação Campestre,2.2. Grassland
